"","x"
"1",-0.454341769218445
"2",0.0153728593140841
"3",-0.733927607536316
"4",0.464950203895569
"5",0.201121434569359
"6",0.193981751799583
"7",-0.00325144594535232
"8",-0.57659375667572
"9",0.725387930870056
"10",0.383739590644836
"11",0.118869408965111
"12",0.335678935050964
"13",0.936355590820312
"14",-0.777310252189636
"15",-0.807394623756409
"16",0.866247773170471
"17",0.276697278022766
"18",1.35560476779938
"19",0.259587407112122
"20",-0.731011271476746
"21",-0.0197242628782988
"22",0.0200215447694063
"23",0.710480213165283
"24",-0.530734181404114
"25",-0.123121872544289
"26",-0.58581817150116
"27",0.682805061340332
"28",0.0290225613862276
"29",-0.316400408744812
"30",0.188969239592552
"31",0.249618634581566
"32",0.141405448317528
"33",-0.281483054161072
"34",1.48186957836151
"35",0.702047228813171
"36",1.09942102432251
"37",-0.18042816221714
"38",0.813653349876404
"39",0.440161347389221
"40",-0.665099501609802
"41",-0.23850978910923
"42",-0.190161362290382
"43",-0.382835745811462
"44",-0.700268626213074
"45",0.394106984138489
"46",-0.463758587837219
"47",0.427756190299988
"48",0.71973979473114
"49",-0.45918333530426
"50",0.0533796437084675
"51",0.149652108550072
"52",-0.136310949921608
"53",-0.261843323707581
"54",0.0163873303681612
"55",0.0580443032085896
"56",0.127396926283836
"57",-0.0532251708209515
"58",-0.164801254868507
"59",0.116501912474632
"60",-0.364542603492737
"61",-0.344274401664734
"62",0.351181626319885
"63",-0.396114230155945
"64",0.0770834535360336
"65",0.0545676834881306
"66",-0.0169249903410673
"67",0.156207665801048
"68",-0.010306729003787
"69",-0.528663754463196
"70",-0.208046093583107
"71",-0.352354407310486
"72",-0.0691074281930923
"73",-0.863322854042053
"74",0.357887148857117
"75",-0.000749243015889078
"76",-0.414400696754456
"77",-0.0842074304819107
"78",-0.271065592765808
"79",0.532617449760437
"80",-0.894002079963684
"81",0.0583397038280964
"82",0.0540634281933308
"83",-0.309060215950012
"84",0.351637482643127
"85",-0.181941643357277
"86",-0.311169505119324
"87",0.326513409614563
"88",-0.862489104270935
"89",-0.610293984413147
"90",-0.707597613334656
"91",-0.858801245689392
"92",0.314648032188416
"93",0.466313481330872
"94",0.314495921134949
"95",-0.00847138278186321
"96",-0.564581751823425
"97",-0.0758468061685562
"98",-0.41308867931366
"99",-0.452234387397766
"100",0.886125206947327
"101",0.342827200889587
"102",0.105347737669945
"103",-0.216814175248146
"104",0.360546469688416
"105",-0.308887124061584
"106",-0.733089089393616
"107",0.161803588271141
"108",0.334124445915222
"109",0.244502648711205
"110",0.324721693992615
"111",-0.275271058082581
"112",0.497393488883972
"113",0.0095664132386446
"114",-0.515289902687073
"115",-0.728532195091248
"116",0.184206590056419
"117",-0.863240122795105
"118",0.261189579963684
"119",0.0968531221151352
"120",-0.164299145340919
"121",-0.51277220249176
"122",0.178918227553368
"123",0.0196729768067598
"124",0.325696587562561
"125",0.0965510457754135
"126",0.0486756451427937
"127",0.459788918495178
"128",0.529524922370911
"129",0.552577376365662
"130",0.175692185759544
"131",-0.0106903444975615
"132",-0.116969957947731
"133",0.788501858711243
"134",0.0236154664307833
"135",0.236301764845848
"136",0.38792884349823
"137",-0.197475090622902
"138",-0.324797749519348
"139",-0.472091555595398
"140",-0.942944884300232
"141",0.104353532195091
"142",-0.240908041596413
"143",0.806087851524353
"144",-0.0883790403604507
"145",-0.560225367546082
"146",1.06614720821381
"147",0.996848225593567
"148",-0.835754036903381
"149",0.610946536064148
"150",-0.177825346589088
"151",-0.653363585472107
"152",-0.371727585792542
"153",-0.189865484833717
"154",0.457695364952087
"155",0.651143908500671
"156",0.0970061868429184
"157",0.227795705199242
"158",1.23867237567902
"159",0.576985955238342
"160",0.148651227355003
"161",-0.138195887207985
"162",0.109911784529686
"163",0.777478337287903
"164",0.475956797599792
"165",0.411577820777893
"166",-0.240412130951881
"167",-0.319068074226379
"168",0.410605788230896
"169",0.221084222197533
"170",0.296504139900208
"171",0.320317149162292
"172",0.0543883927166462
"173",1.9594703912735
"174",-0.201222077012062
"175",0.436760306358337
"176",-0.215471878647804
"177",-0.129051342606544
"178",0.00893174298107624
"179",1.1518337726593
"180",-0.0794741064310074
"181",1.12400007247925
"182",-0.546859860420227
"183",-0.854957699775696
"184",0.340027213096619
"185",0.348122000694275
"186",-0.00429738825187087
"187",-0.124624863266945
"188",-0.604615330696106
"189",0.646664023399353
"190",-0.399459004402161
"191",0.446882605552673
"192",0.489812254905701
"193",-0.538322329521179
"194",-0.449291586875916
"195",-0.717519402503967
"196",0.185732707381248
"197",0.48667848110199
"198",-0.797674298286438
"199",0.242986783385277
"200",0.387662053108215
"201",-0.716064810752869
"202",-0.735386252403259
"203",0.235499247908592
"204",-0.150010481476784
"205",-0.525704979896545
"206",-0.0386160723865032
"207",0.374430537223816
"208",-0.101971283555031
"209",-0.240888014435768
"210",-0.601090788841248
"211",-0.224044218659401
"212",-0.085649386048317
"213",-0.644571423530579
"214",0.0168045628815889
"215",1.62699735164642
"216",-0.147852078080177
"217",-0.616359353065491
"218",0.422451376914978
"219",0.0562740452587605
"220",0.633069396018982
"221",-0.168320551514626
"222",-0.0540875308215618
"223",0.525111317634583
"224",0.303929924964905
"225",-0.23872746527195
"226",0.140392646193504
"227",0.663105249404907
"228",-0.472618699073792
"229",0.090838298201561
"230",-0.577824711799622
"231",0.533955693244934
"232",-0.396270394325256
"233",-0.653389811515808
"234",-0.874833464622498
"235",-0.00850571505725384
"236",-0.212908402085304
"237",-0.234326019883156
"238",0.0307122338563204
"239",0.158544883131981
"240",0.808392286300659
"241",-0.567170739173889
"242",-0.167848482728004
"243",-0.329093813896179
"244",-0.370003342628479
"245",-0.682037949562073
"246",0.682215452194214
"247",0.793778538703918
"248",0.293856978416443
"249",0.643558025360107
"250",1.56325674057007
"251",0.228154525160789
"252",0.020750867202878
"253",0.153577193617821
"254",-0.0878404527902603
"255",0.226760253310204
"256",0.141446694731712
"257",0.632440567016602
"258",-0.322000622749329
"259",0.4632488489151
"260",-0.233302250504494
"261",0.163187131285667
